Name,File_download,,File,Number_of_Entries
Overall,,,data.csv,5645
PAMPA,PAMPA,.csv,PAMPA.csv,3769
PAMPA  Log Papp,PAMPA  Log Papp,.csv,PAMPA  Log Papp.csv,307
PAMPA  Log Pe,PAMPA  Log Pe,.csv,PAMPA  Log Pe.csv,3462
Caco-2,Caco-2,.csv,Caco-2.csv,1503
Caco-2  ER,Caco-2  ER,.csv,Caco-2  ER.csv,343
Caco-2  ER+,Caco-2  ER+,.csv,Caco-2  ER+.csv,111
Caco-2  Log Papp AB,Caco-2  Log Papp AB,.csv,Caco-2  Log Papp AB.csv,414
Caco-2  Log Papp AB+,Caco-2  Log Papp AB+,.csv,Caco-2  Log Papp AB+.csv,119
Caco-2  Log Papp BA,Caco-2  Log Papp BA,.csv,Caco-2  Log Papp BA.csv,337
Caco-2  Log Papp BA+,Caco-2  Log Papp BA+,.csv,Caco-2  Log Papp BA+.csv,104
Caco-2  Log Papp,Caco-2  Log Papp,.csv,Caco-2  Log Papp.csv,74
Caco-2  Log Papp+,Caco-2  Log Papp+,.csv,Caco-2  Log Papp+.csv,1
MDCK,MDCK,.csv,MDCK.csv,268
MDCK  ER,MDCK  ER,.csv,MDCK  ER.csv,112
MDCK  ER+,MDCK  ER+,.csv,MDCK  ER+.csv,5
MDCK  Log Papp AB,MDCK  Log Papp AB,.csv,MDCK  Log Papp AB.csv,118
MDCK  Log Papp AB+,MDCK  Log Papp AB+,.csv,MDCK  Log Papp AB+.csv,5
MDCK  Log Papp BA,MDCK  Log Papp BA,.csv,MDCK  Log Papp BA.csv,7
MDCK  Log Papp BA+,MDCK  Log Papp BA+,.csv,MDCK  Log Papp BA+.csv,5
MDCK  Log Papp,MDCK  Log Papp,.csv,MDCK  Log Papp.csv,16
RRCK,RRCK,.csv,RRCK.csv,7
RRCK  ER,RRCK  ER,.csv,RRCK  ER.csv,3
RRCK  Log Papp AB,RRCK  Log Papp AB,.csv,RRCK  Log Papp AB.csv,2
RRCK  Log Papp BA,RRCK  Log Papp BA,.csv,RRCK  Log Papp BA.csv,2
OTHER,OTHER,.csv,OTHER.csv,98
OTHER  ER,OTHER  ER,.csv,OTHER  ER.csv,46
OTHER  Log Papp,OTHER  Log Papp,.csv,OTHER  Log Papp.csv,52
