Compound no.,SMILES
1,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
2,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)=O
3,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=O
4,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=N
5,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(NC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
6,O=C1N[C@@H](C(N(C)C)=O)COCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
7,O=C1N[C@@H](C(N(C)C)=O)CCCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
8,O=C1N[C@@H](C(N(C)C)=O)C/C=C/C(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
9,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2Br)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O
10,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(Br)C=C2)C(N(C)C)=O
11,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC(Br)=C2)C(N(C)C)=O
12,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2Br)C(N(C)C)=O
13,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(C)C=C2)C(N(C)C)=O
14,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(O)C=C2)C(N(C)C)=O
15,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(OC)C=C2)C(N(C)C)=O
16,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(C#N)C=C2)C(N(C)C)=O
17,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C)C(N(C)C)=O
18,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2O)C(N(C)C)=O
19,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2OC)C(N(C)C)=O
20,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C4CC4)C(N(C)C)=O
21,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C#N)C(N(C)C)=O
22,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C(O)=O)C(N(C)C)=O
23,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC(C)=O)=O)C=CC=C2)C(N(C)C)=O
24,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC(CNC(C)=O)=O)=O
25,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CCN3C(C)=O
26,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CCCCN3C(C)=O
27,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CSCN3C(C)=O
28,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4CC4)=O)=O)=O
29,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C=O)=O)=O
30,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C(F)(F)F)=O)=O)=O
31,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(OC)=O)=O)=O
32,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(COC)=O)=O)=O
33,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CC=C4)=O)=O)=O
34,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CC4=CC=CC=C4)=O)=O)=O
35,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3S(C)(=O)=O)=O)=O
36,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3S(C4=CC=CC=C4)(=O)=O)=O)=O)C=CC=C2)C(N(C)C)=O
37,O=C1N[C@@H](C(N(C)C)=O)CSCC2=C(C=CC=C2)C(OC[C@H]1NC([C@@H]3CCCN3S(CC4=CC=CC=C4)(=O)=O)=O)=O
38,OC(CCC(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)=O
39,O=C(NC)CCC(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
40,O=C(NC)/C=C/C(N1CCC[C@H]1C(N[C@@H]2CNC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
41,N#CC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)SC=C1
42,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=NOC=C4)=O)=O)=O
43,O=C(NC(N1CCC[C@H]1C(N[C@@H]2COC(C3=CC=CC=C3CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O)C4=CC=CC=C4
44,O=C(C1=C(OC)C=CC=C1)NCC(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O
45,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC5=C(S4)N=CC=C5)=O)=O)=O
46,O=C(N1CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C5=C(C=CC=C5)C1=O
47,O=C1C2=C(C=CC=C2)SN1CC(N3CCC[C@H]3C(N[C@@H]4COC(C5=CC=CC=C5CSC[C@H](C(N(C)C)=O)NC4=O)=O)=O)=O
48,CC(NC(N1CC(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=O)(C5=CC=CC=C5)C1=O
49,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=NN(C5=CC=CC=C5)C=N4)=O)=O)=O
50,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CC=C4OC5=CC=CC=C5C#N)=O)=O)=O
51,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=NC(N5C=NC=C5)=CC=C4)=O)=O)=O
52,O=C(N(C)C)[C@H](NC1=O)CSCC2=CC=CC=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CNC(C4(C5=CC=CC=C5)CC4)=O)=O)=O)=O
53,N#CC1=C(NC(C=C1C)=O)SCC(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O
54,O=C(C(N1CCC[C@H]1C(N[C@@H]2COC(C3=CC=CC=C3CSC[C@@H](NC2=O)C(N(C)C)=O)=O)=O)=O)C4=CC=CC=C4C(O)=O
55,O=C([C@@H](CO1)NC([C@@H]2CCCN2C(CSC3=C(C(O)=O)C=CC=C3)=O)=O)N[C@@H](C(N(C)C)=O)CSCC4=CC=CC=C4C1=O
56,OC(C(CC1)=NN(C2=CC=CC(C(N3CCC[C@H]3C(N[C@@H]4COC(C5=CC=CC=C5CSC[C@@H](NC4=O)C(N(C)C)=O)=O)=O)=O)=C2)C1=O)=O
57,OC(C1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=CC=CC=C4CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CS1)=O
58,CS(NC1=C(C(N[C@@H]2COC(C3=CC=CC=C3CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)SC=C1)(=O)=O
59,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=CC=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
60,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=CC3=NON=C32)=CC=C4)=C4C(OC[C@H]1NC([C@@H]5CCCN5C(C)=O)=O)=O
61,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC3=NON=C3C=C2)=CC=C4)=C4C(OC[C@H]1NC([C@@H]5CCCN5C(C)=O)=O)=O
62,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C#N)S2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
63,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC(C(O)=O)=CC=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
64,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
65,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(OC)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
66,O=C(O)CC1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1
67,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C(O)=O)S2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
68,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C(C3=NN=NN3)C=C2)=CC=C4)=C4C(OC[C@H]1NC([C@@H]5CCCN5C(C)=O)=O)=O
69,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC=C([N+]([O-])=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
70,O=S(C1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1)(C)=O
71,O=C(C)C1=CC=C(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)C=C1
72,CC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
73,COC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
74,FC1=C(C(O)=O)C=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
75,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC([N+]([O-])=O)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
76,O=C1N[C@@H](C(N(C)C)=O)CSCC(C(C2=CC(C(F)(F)F)=C(C(O)=O)C=C2)=CC=C3)=C3C(OC[C@H]1NC([C@@H]4CCCN4C(C)=O)=O)=O
77,CC1=C(C(O)=O)C(C)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
78,FC1=C(C(O)=O)C(F)=CC(C2=CC=CC(C(OC[C@H]3NC([C@@H]4CCCN4C(C)=O)=O)=O)=C2CSC[C@H](C(N(C)C)=O)NC3=O)=C1
S1,OCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S2,OCCCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S3,O=C(OC)CCC(N1CCC[C@H]1C(N[C@@H]2COC(C3=C(C=CC=C3)CSC[C@H](C(N(C)C)=O)NC2=O)=O)=O)=O
S4,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N)=O)=O)=O)=O
S5,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(CCC(N(C)C)=O)=O)=O)=O
S6,O=C1C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)=CC=CN1
S7,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CN(C)C4=O)=O)=O)=O
S8,O=S(NC1=C(C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O)C=CC=C1)(C)=O
S9,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C(C=CC=C4)=C4OS(=O)(C)=O)=O)=O)=O
S10,BrC1=CSN=C1C(N2CCC[C@H]2C(N[C@@H]3COC(C4=C(C=CC=C4)CSC[C@H](C(N(C)C)=O)NC3=O)=O)=O)=O
