ID,Macrocycle_Free_Amide_Ratio,Peptidic_Type
MC-0001,0.143,Non
MC-0002,0.143,Non
MC-0003,0.333,Semi
MC-0004,0.333,Semi
MC-0005,0.333,Semi
MC-0006,0.333,Semi
MC-0007,0.333,Semi
MC-0008,0.333,Semi
MC-0009,0.333,Semi
MC-0010,0.333,Semi
MC-0011,0.333,Semi
MC-0012,0.222,Non
MC-0013,0.222,Non
MC-0014,0.222,Non
MC-0015,0.222,Non
MC-0016,0.333,Semi
MC-0017,0.222,Non
MC-0018,0.222,Non
MC-0019,0.222,Non
MC-0020,0.333,Semi
MC-0021,0.222,Non
MC-0022,0.333,Semi
MC-0023,0.222,Non
MC-0024,0.222,Non
MC-0025,0.333,Semi
MC-0026,0.222,Non
MC-0027,0.222,Non
MC-0028,0.4,Semi
MC-0029,0.429,Semi
MC-0030,0.429,Semi
MC-0031,0.4,Semi
MC-0032,0.143,Non
MC-0033,0,Non
MC-0034,0,Non
MC-0035,0,Non
MC-0036,0,Non
MC-0037,0,Non
MC-0038,0,Non
MC-0039,0,Non
MC-0040,0,Non
MC-0041,0,Non
MC-0042,0,Non
MC-0043,0,Non
MC-0044,0,Non
MC-0045,0,Non
MC-0046,0,Non
MC-0047,0,Non
MC-0048,0,Non
MC-0049,0,Non
MC-0050,0,Non
MC-0051,0,Non
MC-0052,0,Non
MC-0053,0,Non
MC-0054,0,Non
MC-0055,0,Non
MC-0056,0,Non
MC-0057,0,Non
MC-0058,0,Non
MC-0059,0,Non
MC-0060,0,Non
MC-0061,0,Non
MC-0062,0,Non
MC-0063,0,Non
MC-0064,0,Non
MC-0065,0,Non
MC-0066,0,Non
MC-0067,0,Non
MC-0068,0,Non
MC-0069,0,Non
MC-0070,0,Non
MC-0071,0,Non
MC-0072,0,Non
MC-0073,0,Non
MC-0074,0,Non
MC-0075,0,Non
MC-0076,0,Non
MC-0077,0,Non
MC-0078,0,Non
MC-0079,0,Non
MC-0080,0,Non
MC-0081,0,Non
MC-0082,0,Non
MC-0083,0,Non
MC-0084,0,Non
MC-0085,0,Non
MC-0086,0,Non
MC-0087,0,Non
