SMILES,Sample_Type
O=C([C@@H](NC([C@H](C)N1)=O)CC2=CC=CC=C2)NCCCCC(N(CC(C)C)CC1=O)=O,Semi Peptide
O=C([C@@H](NC(CN1C)=O)CC2=CC=CC=C2)NCCCCC(N[C@H](C1=O)CC(C)C)=O,Semi Peptide
N1C(=O)CCCCNC([C@H](CC(C=CC2)=CC=2)NC(=O)[C@@H](NC(=O)[C@@H]1C)CC(C)C)=O,Semi Peptide
N1(CC(C=CC2)=CC=2)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(CCCCNC(=O)C1)=O,Semi Peptide
C1CCC(=O)N[C@@H](C)C(=O)N(CC(=O)N[C@@H](CC(=CC=C2)C=C2)C(=O)NC1)CC(C)C,Semi Peptide
N1C(=O)[C@H](CC(C)C)NC(=O)CN(C)C(CCCCNC(=O)[C@@H]1CC(C=CC1)=CC=1)=O,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](CCCNC(=O)[C@@H](N1)CC(C=CC1)=CC=1)C,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=O)[C@@H](N1)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](CCCNC(=O)CN1CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=O)CN1CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)CN(CC(C)C)C(=O)[C@H](C)NC(=O)[C@@H](CCCNC(=O)[C@@H](N1)CC(C=CC1)=CC=1)C,Semi Peptide
C1(=O)CN(CC(C)C)C(=O)[C@H](C)NC(=O)[C@H](CCCNC(=O)[C@@H](N1)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)CN(C)C(=O)[C@@H](CCCNC(=O)[C@@H](N1)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](CC(C)C)NC(=O)CN(C)C(=O)[C@H](CCCNC(=O)[C@@H](N1)CC(C=CC1)=CC=1)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@@H](CCNC(=O)[C@H](CC(C=CC2)=CC=2)NC1=O)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@H](CCNC(=O)[C@H](CC(C=CC2)=CC=2)NC1=O)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@@H](CCNC(=O)CN(CC(=CC=C2)C=C2)C1=O)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)[C@H](C)NC(=O)C[C@H](CCNC(=O)CN(CC(C=CC2)=CC=2)C1=O)C,Semi Peptide
C1N(CC(C)C)C(=O)[C@H](C)NC(=O)C[C@@H](CCNC(=O)[C@@H](NC1=O)CC(C=CC1)=CC=1)C,Semi Peptide
C1N(CC(C)C)C(=O)[C@H](C)NC(=O)C[C@H](CCNC(=O)[C@H](CC(=CC=C2)C=C2)NC1=O)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)CN(C)C(=O)C[C@@H](CCNC(=O)[C@H](CC(C=CC2)=CC=2)NC1=O)C,Semi Peptide
[C@@H]1(CC(C)C)NC(=O)CN(C)C(=O)C[C@H](CCNC(=O)[C@@H](NC1=O)CC(C=CC1)=CC=1)C,Semi Peptide
N1C(=O)[C@H](C)NC(=O)CC[C@H](CNC(=O)[C@@H](NC(=O)[C@@H]1CC(C)C)CC(=CC=C1)C=C1)C,Semi Peptide
N1C(=O)[C@H](C)NC(=O)CC[C@@H](CNC(=O)[C@H](CC(=CC=C2)C=C2)NC(=O)[C@@H]1CC(C)C)C,Semi Peptide
N1C(=O)[C@H](C)NC(=O)CC[C@H](CNC(=O)CN(CC(=CC=C2)C=C2)C(=O)[C@@H]1CC(C)C)C,Semi Peptide
N1C(=O)[C@H](C)NC(=O)CC[C@@H](CNC(=O)CN(CC(=CC=C2)C=C2)C(=O)[C@@H]1CC(C)C)C,Semi Peptide
N1(CC(C)C)C(=O)[C@H](C)NC(=O)CC[C@H](CNC(=O)[C@@H](NC(=O)C1)CC(=CC=C1)C=C1)C,Semi Peptide
N1(CC(C)C)C(=O)[C@H](C)NC(=O)CC[C@@H](CNC(=O)[C@H](CC(=CC=C2)C=C2)NC(=O)C1)C,Semi Peptide
N1C(=O)CN(C)C(=O)CC[C@H](CNC(=O)[C@@H](NC(=O)[C@@H]1CC(C)C)CC(C=CC1)=CC=1)C,Semi Peptide
N1C(=O)CN(C)C(=O)CC[C@@H](CNC(=O)[C@@H](NC(=O)[C@@H]1CC(C)C)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@H](NC(=O)[C@H](CC(C=CC2)=CC=2)NC(=O)[C@@H](N1)CC(C)C)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@@H](NC(=O)[C@H](CC(=CC=C2)C=C2)NC(=O)[C@@H](N1)CC(C)C)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@H](NC(=O)CN(CC(C=CC2)=CC=2)C(=O)[C@@H](N1)CC(C)C)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@@H](NC(=O)CN(CC(C=CC2)=CC=2)C(=O)[C@@H](N1)CC(C)C)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@H](NC(=O)[C@@H](NC(=O)CN1CC(C)C)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)[C@H](C)NC(=O)CCC[C@@H](NC(=O)[C@@H](NC(=O)CN1CC(C)C)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)CN(C)C(=O)CCC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](N1)CC(C)C)CC(=CC=C1)C=C1)C,Semi Peptide
C1(=O)CN(C)C(=O)CCC[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N1)CC(C)C)CC(C=CC1)=CC=1)C,Semi Peptide
O=C([C@@H](NC([C@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)NCCC[C@H](C)C(N[C@H](C1=O)C)=O,Semi Peptide
O=C([C@@H](NC([C@@H](CC(C)C)N1)=O)CC2=CC=CC=C2)NCCC[C@H](C)C(N[C@H](C1=O)C)=O,Semi Peptide
O=C([C@@H](NC([C@@](CC(C)C)(C)N1)=O)CC2=CC=CC=C2)NCCC[C@H](C)C(N[C@H](C1=O)C)=O,Semi Peptide
O=C([C@@H](NC([C@@H](CC(C)C)N1C)=O)CC2=CC=CC=C2)NCCC[C@H](C)C(N[C@H](C1=O)C)=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@H]2CC3=CC=C(O)C=C3)=O)=O)[C@H](C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@H]1CC2=CC=C(O)C=C2)=O)=O)[C@H](CC3=CC=CC=C3)NC1=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@H]1CC2=CC=CC=C2)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC1=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2CC3=CC=CC=C3)=O)=O)[C@H](C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](CC(C)C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)CC3=CC=CC=C3)=O)C)=O)CC(C)C)=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)C)=O)CC3=CC=CC=C3)=O)CC(C)C)=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)CC(C)C)=O)CC3=CC=CC=C3)=O)C)=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)CC3=CC=CC=C3)=O)CC(C)C)=O)C)=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)C)=O)CC(C)C)=O)CC3=CC=CC=C3)=O,Semi Peptide
OC(C=C1)=CC=C1C[C@H]2C(N[C@H](C(N[C@H](C(N[C@H](C(NCCCCN2)=O)CC(C)C)=O)C)=O)CC3=CC=CC=C3)=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@H]2CC3=CC=C(O)C=C3)=O)=O)[C@H](CC(C)C)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC1=CC=CC=C1)C(N[C@H]2CC(C)C)=O)=O)[C@H](CC3=CC=C(O)C=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2CC(C)C)=O)=O)[C@H](CC3=CC=CC=C3)NC2=O,Semi Peptide
O=C(NCCCCN[C@@H](C)C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H]2CC3=CC=CC=C3)=O)=O)[C@H](CC(C)C)NC2=O,Semi Peptide
