,SMILES,Sample_Type,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
0,O=C([C@@H](NC([C@H](C)N1)=O)CC2=CC=CC=C2)NCCCCC(N(CC(C)C)CC1=O)=O,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CN(C)C(=O)CCCCNC(=O)C(Cc2ccccc2)NC1=O,0.6,0.8
1,O=C([C@@H](NC(CN1C)=O)CC2=CC=CC=C2)NCCCCC(N[C@H](C1=O)CC(C)C)=O,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)CN(C)C1=O,0.6,0.8
2,N1C(=O)CCCCNC([C@H](CC(C=CC2)=CC=2)NC(=O)[C@@H](NC(=O)[C@@H]1C)CC(C)C)=O,Semi Peptide,15,4,0,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)NC1=O,0.8,0.8
3,N1(CC(C=CC2)=CC=2)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(CCCCNC(=O)C1)=O,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)CN(Cc2ccccc2)C(=O)C(C)NC1=O,0.6,0.8
4,C1CCC(=O)N[C@@H](C)C(=O)N(CC(=O)N[C@@H](CC(=CC=C2)C=C2)C(=O)NC1)CC(C)C,Semi Peptide,15,4,0,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)CNC1=O,0.8,0.8
5,N1C(=O)[C@H](CC(C)C)NC(=O)CN(C)C(CCCCNC(=O)[C@@H]1CC(C=CC1)=CC=1)=O,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CN(C)C(=O)CCCCNC(=O)C(Cc2ccccc2)NC1=O,0.6,0.8
6,C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](CCCNC(=O)[C@@H](N1)CC(C=CC1)=CC=1)C,Semi Peptide,15,4,0,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)NC1=O,0.8,0.8
7,C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=O)[C@@H](N1)CC(=CC=C1)C=C1)C,Semi Peptide,15,4,0,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)NC1=O,0.8,0.8
8,C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](CCCNC(=O)CN1CC(=CC=C1)C=C1)C,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)CN(Cc2ccccc2)C(=O)C(C)NC1=O,0.6,0.8
9,C1(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=O)CN1CC(=CC=C1)C=C1)C,Semi Peptide,15,3,1,4,C1CCNCCNCCNCCNCC1,CC1NC(=O)CCCCNC(=O)CN(Cc2ccccc2)C(=O)C(C)NC1=O,0.6,0.8
