,ID,SMILES,Group,Source,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
0,1,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Peptide,CycPeptMPDB,33,5,6,11,C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(C)N(C)C(=O)CN(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(C)NC1=O,0.45454545454545453,1.0
1,2,CC(C)C[C@@H]1NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
2,3,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
3,4,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
4,5,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
5,6,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
6,7,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
7,8,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
8,9,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
9,10,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
10,11,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
11,12,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,4,2,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.6666666666666666,1.0
12,13,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,4,2,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC1=O,0.6666666666666666,1.0
13,14,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
14,15,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
15,16,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
16,17,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,21,4,3,7,C1CNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C2CCCN2C(=O)C(C)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC1=O,0.5714285714285714,1.0
17,18,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
18,19,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,21,5,2,7,C1CNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC1=O,0.7142857142857143,1.0
19,20,COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H]3CCCN3C(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,21,5,2,7,C1CNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC1=O,0.7142857142857143,1.0
20,21,COc1ccc(C[C@@H]2NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]3CCCN3C2=O)cc1,Peptide,CycPeptMPDB,21,6,1,7,C1CNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(C)NC(=O)C2CCCN2C(=O)C(Cc2ccc(O)cc2)NC(=O)C(C)NC(=O)C(C)NC1=O,0.8571428571428571,1.0
21,22,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,Peptide,CycPeptMPDB,33,5,6,11,C1CNCCNCCNCCNCCNCCNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(C)N(C)C(=O)CN(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(C)NC1=O,0.45454545454545453,1.0
22,23,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
23,24,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC1=O,Peptide,CycPeptMPDB,18,5,1,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)NC1=O,0.8333333333333334,1.0
24,25,CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,2,4,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N(C)C(=O)C(C)N(C)C1=O,0.3333333333333333,1.0
25,26,CC(C)C[C@@H]1NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)N(C)C1=O,Peptide,CycPeptMPDB,18,1,5,6,C1CNCCNCCNCCNCCNCCN1,CC1NC(=O)C(C)N(C)C(=O)C(C)N(C)C(=O)C(Cc2ccc(O)cc2)N(C)C(=O)C2CCCN2C(=O)C(C)N(C)C1=O,0.16666666666666666,1.0
