File,Number_of_Entries
Log Pe_PAMPA.csv,3543
Log Papp_PAMPA.csv,509
Log Papp AB_Caco-2.csv,502
ER_Caco-2.csv,364
Log Papp BA_Caco-2.csv,354
Log Papp AB_MDCK.csv,146
ER_MDCK.csv,121
Log Papp AB+_Caco-2.csv,120
Log Papp_Caco-2.csv,119
ER+_Caco-2.csv,115
Log Papp BA+_Caco-2.csv,104
Log Papp_MDCK.csv,65
Log Papp_OTHER.csv,63
ER_OTHER.csv,46
Log Papp_RRCK.csv,27
Log Papp AB_RRCK.csv,18
Log Papp BA_MDCK.csv,13
ER+_MDCK.csv,5
Log Papp AB+_MDCK.csv,5
Log Papp BA+_MDCK.csv,5
ER_RRCK.csv,3
Log Papp AB_OTHER.csv,2
Log Papp BA_RRCK.csv,2
Log Papp+_Caco-2.csv,1
Log Pe_OTHER.csv,1
