ID,Standardise_SMILES,MW,HBA,HBD,cLogP,TPSA,MRS,AR,KI
MC-3819,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC(=O)NCc3cn(CCCCCCCCCCCCN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)nn3)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1370.754,23,6,7.637,294.67,15,0,27.362
MC-3908,CCCCCCC[C@H]1OC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CCCCCCC)OC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CCCCC)OC(=O)CN(C)C(=O)[C@@H](CCCCC)OC(=O)CN(C)C1=O,965.324,12,0,8.192,186.44,24,0.5,30.998
MC-3909,CCCCCCC[C@H]1OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCCCC)OC(=O)[C@H](C)N(C)C1=O,965.324,12,0,8.477,186.44,24,0.5,30.998
MC-3911,CCCCC[C@H]1OC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](CCC)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](CCC)N(C)C1=O,993.378,12,0,8.969,186.44,24,0.5,31.143
MC-3900,CCCCCCCCC[C@H]1OC(=O)[C@H](CCCC)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C1=O,951.297,12,0,8.087,186.44,24,0.5,30.197
MC-3818,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(OC(=O)NCc3cn(CCCCCCCCN4CCN(c5cc6c(cc5F)c(=O)c(C(=O)O)cn6C5CC5)CC4)nn3)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1314.646,23,6,6.076,294.67,15,0,24.996
MC-3899,CCCCCCCCC[C@H]1OC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C1=O,951.297,12,0,7.943,186.44,24,0.5,29.48
MC-4349,COc1cc(CC(=O)N2CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CC(N)=O)C(=O)CCSCc3ccc(cc3)C(=O)N[C@@H](CCCCN)CN(C(=O)CCC3CCCCC3)CC(=O)N[C@@H](Cc3ccccc3)CN(C(=O)CCc3ccccc3)CC(=O)N[C@@H](Cc3ccccc3)C2)cc(OC)c1,1425.805,14,6,7.313,302.28,32,0.563,32.073
MC-3897,CCCCCCCC[C@H]1OC(=O)[C@H](CCC)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C1=O,923.243,12,0,7.307,186.44,24,0.5,28.607
MC-3905,CCCCCCCCC[C@H]1OC(=O)[C@H](CC)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C(=O)[C@@H](CCCCC)OC(=O)[C@H](C)N(C)C1=O,923.243,12,0,7.307,186.44,24,0.5,28.607
