ID,Endpoint,Assay,Value,Unit,Standardized_Value,Peptidic_Type,Source
MC-0001,Papp AB,MDCK,11.13,10^-6 cm/s,-4.954,Non,EP4074715A1
MC-0001,Papp BA,MDCK,51.91,10^-6 cm/s,-4.285,Non,EP4074715A1
MC-0001,ER,MDCK,4.67,,4.67,Non,EP4074715A1
MC-0002,Papp AB,MDCK,3.31,10^-6 cm/s,-5.48,Non,EP4074715A1
MC-0002,Papp BA,MDCK,64.41,10^-6 cm/s,-4.191,Non,EP4074715A1
MC-0002,ER,MDCK,19.42,,19.42,Non,EP4074715A1
MC-0003,Papp AB,Caco-2,5,10^-6 cm/s,-5.301,Semi,EP2054429B1
MC-0003,Papp BA,Caco-2,11,10^-6 cm/s,-4.959,Semi,EP2054429B1
MC-0003,ER,Caco-2,2,,2,Semi,EP2054429B1
MC-0004,Papp AB,Caco-2,1,10^-6 cm/s,-6,Semi,EP2054429B1
MC-0004,Papp BA,Caco-2,5,10^-6 cm/s,-5.301,Semi,EP2054429B1
MC-0004,ER,Caco-2,5,,5,Semi,EP2054429B1
MC-0005,ER,Caco-2,1,,1,Semi,EP2054429B1
MC-0005,Papp AB,Caco-2,15,10^-6 cm/s,-4.824,Semi,EP2054429B1
MC-0005,Papp BA,Caco-2,17,10^-6 cm/s,-4.77,Semi,EP2054429B1
MC-0006,Papp AB,Caco-2,0.3,10^-6 cm/s,-6.523,Semi,EP2054429B1
MC-0006,Papp BA,Caco-2,11,10^-6 cm/s,-4.959,Semi,EP2054429B1
MC-0006,ER,Caco-2,37,,37,Semi,EP2054429B1
MC-0007,Papp AB,Caco-2,3,10^-6 cm/s,-5.523,Semi,EP2054429B1
MC-0007,Papp BA,Caco-2,9,10^-6 cm/s,-5.046,Semi,EP2054429B1
MC-0007,ER,Caco-2,3,,3,Semi,EP2054429B1
MC-0008,Papp BA,Caco-2,18,10^-6 cm/s,-4.745,Semi,EP2054429B1
MC-0008,ER,Caco-2,1,,1,Semi,EP2054429B1
MC-0008,Papp AB,Caco-2,19,10^-6 cm/s,-4.721,Semi,EP2054429B1
MC-0009,Papp BA,Caco-2,18,10^-6 cm/s,-4.745,Semi,EP2054429B1
MC-0009,ER,Caco-2,1,,1,Semi,EP2054429B1
MC-0009,Papp AB,Caco-2,15,10^-6 cm/s,-4.824,Semi,EP2054429B1
MC-0010,Papp AB,Caco-2,5,10^-6 cm/s,-5.301,Semi,EP2054429B1
MC-0010,Papp BA,Caco-2,7,10^-6 cm/s,-5.155,Semi,EP2054429B1
MC-0010,ER,Caco-2,1,,1,Semi,EP2054429B1
MC-0011,Papp AB,Caco-2,2,10^-6 cm/s,-5.699,Semi,EP2054429B1
MC-0011,Papp BA,Caco-2,11,10^-6 cm/s,-4.959,Semi,EP2054429B1
MC-0011,ER,Caco-2,6,,6,Semi,EP2054429B1
MC-0012,Papp BA+,Caco-2,4.96,10^6 cm/s,-5.305,Non,WO2011053821A1
MC-0012,ER,Caco-2,109,,109,Non,WO2011053821A1
MC-0012,Papp AB,Caco-2,0.11,10^6 cm/s,-6.959,Non,WO2011053821A1
MC-0012,Papp BA,Caco-2,12,10^6 cm/s,-4.921,Non,WO2011053821A1
MC-0012,Papp AB+,Caco-2,0.581,10^6 cm/s,-6.236,Non,WO2011053821A1
MC-0012,ER+,Caco-2,8.53,,8.53,Non,WO2011053821A1
MC-0013,Papp AB,Caco-2,0.091,10^6 cm/s,-7.041,Non,WO2011053821A1
MC-0013,Papp BA,Caco-2,26.7,10^6 cm/s,-4.573,Non,WO2011053821A1
MC-0013,ER+,Caco-2,5.69,,5.69,Non,WO2011053821A1
MC-0013,Papp BA+,Caco-2,16.3,10^6 cm/s,-4.788,Non,WO2011053821A1
MC-0013,Papp AB+,Caco-2,3,10^6 cm/s,-5.523,Non,WO2011053821A1
MC-0013,ER,Caco-2,299,,299,Non,WO2011053821A1
MC-0014,Papp AB,Caco-2,0.131,10^6 cm/s,-6.883,Non,WO2011053821A1
MC-0014,Papp BA,Caco-2,41.8,10^6 cm/s,-4.379,Non,WO2011053821A1
MC-0014,Papp BA+,Caco-2,13.4,10^6 cm/s,-4.873,Non,WO2011053821A1
MC-0014,ER+,Caco-2,2.75,,2.75,Non,WO2011053821A1
MC-0014,Papp AB+,Caco-2,4.86,10^6 cm/s,-5.313,Non,WO2011053821A1
MC-0014,ER,Caco-2,318,,318,Non,WO2011053821A1
MC-0015,ER+,Caco-2,1.98,,1.98,Non,WO2011053821A1
MC-0015,Papp BA+,Caco-2,9.94,10^6 cm/s,-5.003,Non,WO2011053821A1
MC-0015,Papp AB+,Caco-2,5.02,10^6 cm/s,-5.299,Non,WO2011053821A1
MC-0015,Papp BA,Caco-2,53.5,10^6 cm/s,-4.272,Non,WO2011053821A1
