,Compound no.,SMILES,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
0,1,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
1,2,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CS(=O)Cc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
2,3,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CS(=O)(=O)Cc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
3,4,O=C1N[C@@H](C(N(C)C)=O)CS(CC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)(=O)=N,12,1,0,1,C1=CCSCCNCCCOC1,CC1CS(=O)Cc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
4,5,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(NC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,2,0,2,C1=CCSCCNCCCNC1,CC1CSCc2ccccc2C(=O)NCCC(=O)N1,0.5,0.5
5,6,O=C1N[C@@H](C(N(C)C)=O)COCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,1,0,1,C1=CCOCCNCCCOC1,CC1COCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
6,7,O=C1N[C@@H](C(N(C)C)=O)CCCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,1,0,1,C1=CCOCCCNCCCC1,CC1CCCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
7,8,O=C1N[C@@H](C(N(C)C)=O)C/C=C/C(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,1,0,1,C1=CCCNCCCOCC=C1,CC1CC=Cc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
8,9,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2Br)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2cccc(Br)c2C(=O)OCCC(=O)N1,0.25,0.25
9,10,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(Br)C=C2)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccc(Br)cc2C(=O)OCCC(=O)N1,0.25,0.25
10,11,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC(Br)=C2)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
11,12,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2Br)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
12,13,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=C(C)C=C2)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,Cc1ccc2c(c1)C(=O)OCCC(=O)NC(C)CSC2,0.25,0.25
