,File,Number of Entries
21,PAMPA  Log Peff.csv,3462
10,Caco-2  Log Papp AB.csv,414
0,Caco-2  ER.csv,342
15,Caco-2  Log Papp BA.csv,337
9,PAMPA  Log Papp.csv,307
13,Caco-2  Log Papp AB+.csv,119
11,MDCK  Log Papp AB.csv,118
1,MDCK  ER.csv,112
4,Caco-2  ER+.csv,111
18,Caco-2  Log Papp BA+.csv,104
6,Caco-2  Log Papp.csv,74
8,Others  Log Papp.csv,52
2,Others  ER.csv,46
7,MDCK  Log Papp.csv,16
16,MDCK  Log Papp BA.csv,7
5,MDCK  ER+.csv,5
14,MDCK  Log Papp AB+.csv,5
19,MDCK  Log Papp BA+.csv,5
3,RRCK  ER.csv,3
17,RRCK  Log Papp BA.csv,2
12,RRCK  Log Papp AB.csv,2
20,Caco-2  Log Papp+.csv,1
