ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0003,502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(C(F)(F)F)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5347,605.702,6,4,43,31,0.516129032,111.8,5,0,0,12.3778307,XLGYUJSXIXSLHY-CMTIAEDTSA-N
MC-0004,508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN(C)C)NC1=O,5,10^-6 cm/s,Papp BA,-5.301,Log Papp BA,5,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5594,586.177,6,4,41,31,0.516129032,111.8,6,0,0,12.90256421,KDLJRSICUQNEQC-ZRRKCSAHSA-N
MC-0005,511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2cccc2)NC1=O,17,10^-6 cm/s,Papp BA,-4.769551079,Log Papp BA,17,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,4,3,3.1094,594.156,6,4,42,32,0.40625,113.49,5,0,0,11.42656674,NPKDYPCFVUJCKG-IUAQSZDVSA-N
MC-0006,512,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(Cl)C=2)NCCOC2=C(CCCNC([C@H](CNC)N1)=O)C=CC=C2)=O,CNC[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC1=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1=COCCNCCNCCNCCNCCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,1.8271,558.123,6,5,39,29,0.482758621,120.59,5,0,0,12.04447302,OAKBMRJASZUEMA-RMTZWNOUSA-N
MC-0007,515,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)F)NCCOC2C=CC=CC=2C[C@H](C)CNC([C@H](CN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(F)c2)NCCOc2ccccc2C[C@H](C)CNC(=O)[C@H](CN(C)C)NC1=O,9,10^-6 cm/s,Papp BA,-5.046,Log Papp BA,9,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@H]1CccOCCN[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)NC1,0.5,0.5,3,2,1.901,569.722,6,4,41,31,0.516129032,111.8,5,0,0,12.09471154,XWBGQVPRXHOMIT-UAXWJAQVSA-N
MC-0008,531,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)NCCOC2C=CC=CC=2C(CCNC([C@H](CC2CC2)N1)=O)C)=O,CC1CCNC(=O)[C@H](CC2CC2)NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2cccc(F)c2)NCCOc2ccccc21,18,10^-6 cm/s,Papp BA,-4.745,Log Papp BA,18,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,CC1ccOCCN[C@H](C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)NCC1,0.5,0.5,4,2,3.4545,566.718,5,4,41,32,0.53125,108.56,5,0,0,10.73919654,BAIAAKYKSVWUSK-PSOJVBHWSA-N
MC-0009,554,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(=C2)F)N[C@@H](C)COC2C=CC=CC=2CCCNC([C@H](CC2CC2)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(F)c2)N[C@@H](C)COc2ccccc2CCCNC(=O)[C@H](CC2CC2)NC1=O,18,10^-6 cm/s,Papp BA,-4.745,Log Papp BA,18,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@H]1COccCCCNC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N1,0.5,0.5,4,2,3.282,566.718,5,4,41,32,0.53125,108.56,5,0,0,10.73919654,HBVJPYXVSZFKCO-OMAYJTIRSA-N
MC-0010,580,    ,ClC1C=CC(C[C@@H]2C(N[C@H](C(C)C)C(=O)N[C@H](C(=O)NCCCC3C=CC=CC=3OCCN2)CN(C)C)=O)=CC=1,CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O,7,10^-6 cm/s,Papp BA,-5.155,Log Papp BA,7,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.1693,572.15,6,4,40,30,0.5,111.8,5,0,0,12.23829875,UMMNOBJLIVPCET-CMTIAEDTSA-N
MC-0011,590,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC=CC(Cl)=C2)NCCOC2C=CC=CC=2C(C)(C)CCNC([C@H](CC2CC2)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2C(C)(C)CCNC(=O)[C@H](CC2CC2)NC1=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccC(C)(C)CCNC1=O,0.5,0.5,4,2,4.1429,597.2,5,4,42,33,0.545454545,108.56,5,0,0,10.89905847,SJGXAPUCMVDISC-IUAQSZDVSA-N
MC-0012,1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,CC(C)[C@@H]1NCCOc2ccccc2C[C@H](O)[C@@H](C)NC(=O)[C@@H](Cc2cccc(F)c2)NC(=O)[C@H](C(C)O)N(C)C1=O,12,10^6 cm/s,Papp BA,-4.921,Log Papp BA,12,Caco-2,Papp BA Without P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NCCOccC[C@H](O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,0.5,0.5,3,2,1.1757,586.705,7,5,42,31,0.516129032,140.23,4,0,0,11.83896229,IOEZDPQDMJIGAP-AVYQPTBLSA-N
