ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0003,502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(C(F)(F)F)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O,5,10^-6 cm/s,Papp AB,-5.301,Log Papp AB,5,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5347,605.702,6,4,43,31,0.516129032,111.8,5,0,0,12.3778307,XLGYUJSXIXSLHY-CMTIAEDTSA-N
MC-0003,502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(C(F)(F)F)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5347,605.702,6,4,43,31,0.516129032,111.8,5,0,0,12.3778307,XLGYUJSXIXSLHY-CMTIAEDTSA-N
MC-0003,502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(C(F)(F)F)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O,2,    ,ER,2.0,ER,2,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5347,605.702,6,4,43,31,0.516129032,111.8,5,0,0,12.3778307,XLGYUJSXIXSLHY-CMTIAEDTSA-N
MC-0004,508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN(C)C)NC1=O,1,10^-6 cm/s,Papp AB,-6.0,Log Papp AB,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5594,586.177,6,4,41,31,0.516129032,111.8,6,0,0,12.90256421,KDLJRSICUQNEQC-ZRRKCSAHSA-N
MC-0004,508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN(C)C)NC1=O,5,10^-6 cm/s,Papp BA,-5.301,Log Papp BA,5,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5594,586.177,6,4,41,31,0.516129032,111.8,6,0,0,12.90256421,KDLJRSICUQNEQC-ZRRKCSAHSA-N
MC-0004,508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN(C)C)NC1=O,5,    ,ER,5.0,ER,5,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,2.5594,586.177,6,4,41,31,0.516129032,111.8,6,0,0,12.90256421,KDLJRSICUQNEQC-ZRRKCSAHSA-N
MC-0005,511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2cccc2)NC1=O,1,    ,ER,1.0,ER,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,4,3,3.1094,594.156,6,4,42,32,0.40625,113.49,5,0,0,11.42656674,NPKDYPCFVUJCKG-IUAQSZDVSA-N
MC-0005,511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2cccc2)NC1=O,15,10^-6 cm/s,Papp AB,-4.823908741,Log Papp AB,15,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,4,3,3.1094,594.156,6,4,42,32,0.40625,113.49,5,0,0,11.42656674,NPKDYPCFVUJCKG-IUAQSZDVSA-N
MC-0005,511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2cccc2)NC1=O,17,10^-6 cm/s,Papp BA,-4.769551079,Log Papp BA,17,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1CCNCCNCCNCCNCCOCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,4,3,3.1094,594.156,6,4,42,32,0.40625,113.49,5,0,0,11.42656674,NPKDYPCFVUJCKG-IUAQSZDVSA-N
MC-0006,512,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(Cl)C=2)NCCOC2=C(CCCNC([C@H](CNC)N1)=O)C=CC=C2)=O,CNC[C@@H]1NC(=O)[C@@H](C(C)C)NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC1=O,0.3,10^-6 cm/s,Papp AB,-6.523,Log Papp AB,0.3,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2008,18,3,0.0,3.0,C1=COCCNCCNCCNCCNCCC1,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NCCOccCCCNC1=O,0.5,0.5,3,2,1.8271,558.123,6,5,39,29,0.482758621,120.59,5,0,0,12.04447302,OAKBMRJASZUEMA-RMTZWNOUSA-N
