ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,4.67,    ,ER,4.67,ER,4.67,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0.0,1.0,C1=COCCCNCC=CN=CNC1,C[C@@H]1ccOCCCNC(=O)ccncN1,0.214285714,0.214285714,6,3,2.2288,386.362,7,2,28,18,0.333333333,93.44,0,0,0,3.676688482,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,19.42,    ,ER,19.42,ER,19.42,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0.0,1.0,C1=COCCCNCC=CN=CNC1,C[C@@H]1ccOCCCNC(=O)ccncN1,0.214285714,0.214285714,6,3,2.0897,368.372,7,2,27,18,0.333333333,93.44,0,0,0,3.491733644,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0045,1,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCC2=O,CS(=O)(=O)NC1CCCN2C(=O)CCOc3ccccc3C3CCC(CC3)OCC12,>100,    ,ER,100.0,ER,100,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,14,0,1.0,1.0,C1=COCCCNCCOCCCC1,O=C1CCOccCCCCOCCN1,0.0,0.214285714,5,1,2.4207,436.574,5,1,30,22,0.681818182,93.32,2,0,0,6.648533525,SPLSRXBNJHKIQY-UHFFFAOYSA-N
MC-0046,2,    ,O=S(C)(=O)NC1C2COC3CCC(CC3)C3=CC=CC=C3OCC(=O)N2CCC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,39,    ,ER,39.0,ER,39,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.0306,422.547,5,1,29,21,0.666666667,93.32,2,0,0,6.127258485,IHNJMACFBQEKRJ-UHFFFAOYSA-N
MC-0047,3,    ,O=S(C)(NC1CCCN2C1COC1CCC(CC1)C1=CC=CC=C1OCCCCC2=O)=O,CS(=O)(=O)NC1CCCN2C(=O)CCCCOc3ccccc3C3CCC(CC3)OCC12,34,    ,ER,34.0,ER,34,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,16,0,1.0,1.0,C1CCCOCCNCCCCCOCC1,O=C1CCCCOccCCCCOCCN1,0.0,0.1875,5,1,3.2009,464.628,5,1,32,24,0.708333333,93.32,2,0,0,7.736720797,XSJIWOISJPLCSU-UHFFFAOYSA-N
MC-0048,4,    ,O=S(C)(NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCCC2=O)=O,CS(=O)(=O)NC1CCCN2C(=O)CCCOc3ccccc3C3CCC(CC3)OCC12,97,    ,ER,97.0,ER,97,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,15,0,1.0,1.0,C1=COCCCCNCCOCCCC1,O=C1CCCOccCCCCOCCN1,0.0,0.2,5,1,2.8108,450.601,5,1,31,23,0.695652174,93.32,2,0,0,7.185241053,AQOHEDGJVWREFQ-UHFFFAOYSA-N
MC-0049,6,    ,O=S(C)(=O)NC1CCCN2CCOC3=CC=CC=C3C3CCC(CC3)OCC21,CS(=O)(=O)NC1CCCN2CCOc3ccccc3C3CCC(CC3)OCC12,0.66,    ,ER,0.66,ER,0.66,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,0.0,0.0,C1CCCOCCNCCOCC1,C1CCCOCCNCCOCC1,0.0,0.0,5,1,2.504,408.564,5,1,28,21,0.714285714,76.25,2,0,0,6.252164032,PXGBFKGVUVNLCZ-UHFFFAOYSA-N
MC-0050,7,    ,O=S(C)(=O)NC1CCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCC2=O,CS(=O)(=O)NC1CCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,2.2,    ,ER,2.2,ER,2.2,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1.0,1.0,C1=COCCNCCOCCCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.6405,408.52,5,1,28,20,0.65,93.32,2,0,0,5.622106142,SCWPDGYQZIKHQQ-UHFFFAOYSA-N
MC-0051,8,    ,O=S(C)(=O)NC1CCCN2C1COC1COC(CC1)C1C(=CC=CC=1)OCC2=O,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CO3)OCC12,3.8,    ,ER,3.8,ER,3.8,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1.0,1.0,C1=COCCNCCOCCOC1,O=C1COccCOCCOCCN1,0.0,0.230769231,5,1,1.2245,424.519,6,1,29,20,0.65,102.55,2,0,0,6.098315053,JCGVOBXYVFAINW-UHFFFAOYSA-N
MC-0051,9,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(C3C(=CC=CC=3)OCC2=O)OC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CO3)OCC12,2.6,    ,ER,2.6,ER,2.6,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1.0,1.0,C1=COCCNCCOCCCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.2245,424.519,6,1,29,20,0.65,102.55,2,0,0,6.098315053,JCGVOBXYVFAINW-UHFFFAOYSA-N
