ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,51.91,10^-6 cm/s,Papp BA,-4.285,Log Papp BA,51.91,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0.0,1.0,C1=COCCCNCC=CN=CNC1,C[C@@H]1ccOCCCNC(=O)ccncN1,0.214285714,0.214285714,6,3,2.2288,386.362,7,2,28,18,0.333333333,93.44,0,0,0,3.676688482,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,64.41,10^-6 cm/s,Papp BA,-4.191,Log Papp BA,64.41,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0.0,1.0,C1=COCCCNCC=CN=CNC1,C[C@@H]1ccOCCCNC(=O)ccncN1,0.214285714,0.214285714,6,3,2.0897,368.372,7,2,27,18,0.333333333,93.44,0,0,0,3.491733644,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0085,erythromycin,Erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,128.7 ± 8.7,nm/s,Papp BA,-4.89,Log Papp BA,128.7,MDCK,Papp BA Without P-gp inhibitor,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,1.7856,733.937,14,5,51,37,0.945945946,193.91,7,0,0,14.71233817,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0086,clarithromycin ,Clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,548.6 ± 42.2,nm/s,Papp BA,-4.261,Log Papp BA,548.6,MDCK,Papp BA Without P-gp inhibitor,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,2.4397,747.964,14,4,52,38,0.947368421,182.91,8,0,0,15.31321432,AGOYDEPGAOXOCK-KCBOHYOISA-N
MC-0087,roxithromycin ,Roxithromycin ,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,298 ± 7.5,nm/s,Papp BA,-4.526,Log Papp BA,298,MDCK,Papp BA Without P-gp inhibitor,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1/C(=N)[C@H](C)C[C@@](C)(O)[C@H](O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,2.2096,837.058,17,5,58,41,0.951219512,216.89,13,0,0,18.8008298,RXZBMPWDPOLZGW-XMRMVWPWSA-N
MC-0088,azithromycin ,Azithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O  ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,109.7 ± 18.7,nm/s,Papp BA,-4.96,Log Papp BA,109.7,MDCK,Papp BA Without P-gp inhibitor,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,15,0,0.0,0.0,C1CCCCNCCCCOCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,1.9007,748.996,14,5,52,38,0.973684211,180.08,7,0,0,15.57529732,MQTOSJVFKKJCRP-BICOPXKESA-N
MC-0089,Telithromycin,Telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,358.5 ± 16.6,nm/s,Papp BA,-4.446,Log Papp BA,358.5,MDCK,Papp BA Without P-gp inhibitor,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,CC1C[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]1C,0.0,0.0,5,2,4.9292,812.018,14,1,58,43,0.720930233,171.85,11,0,0,14.5827165,LJVAJPDWBABPEJ-PNUFFHFMSA-N
MC-4713,1,    ,O=C(C1=CC=C(C=C1)OC2=CC=C(C[C@@H]3NC(OC(C)(C)C)=O)C=C2)CNC([C@H](CC4=CC=CC=C4)NC3=O)=O,CC(C)(C)OC(=O)N[C@H]1Cc2ccc(cc2)Oc2ccc(cc2)C(=O)CNC(=O)[C@H](Cc2ccccc2)NC1=O,21.4,10^-6 cm/s,Papp BA,-4.669586227,Log Papp BA,21.4,MDCK,Permeability across a MDCK-MDR1 cell monolayer in the basolateral to  apical direction at pH 7.4.,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c01370,Journals,10.1021/acs.jmedchem.4c01370,"(Riu et al., 2024)",2024,18,2,0.0,2.0,C1=CCCCNCCNCCC=CC=COC=C1,C[C@@H]1NC(=O)[C@@H](N)CccccOccccC(=O)CNC1=O,0.333333333,0.333333333,6,3,3.9547,543.62,6,3,40,31,0.290322581,122.83,3,0,0,8.833973469,COEGGBQXDJDRAB-UHFFFAOYSA-N
MC-4714,2,    ,O=C(C1=CC(NC(C)=O)=C(C=C1)OC2=CC=C(C[C@@H]3NC(OC(C)(C)C)=O)C=C2)CNC([C@H](CC4=CC=CC=C4)NC3=O)=O,CC(=O)Nc1cc2ccc1Oc1ccc(cc1)C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC2=O,13.3,10^-6 cm/s,Papp BA,-4.876148359,Log Papp BA,13.3,MDCK,Permeability across a MDCK-MDR1 cell monolayer in the basolateral to  apical direction at pH 7.4.,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c01370,Journals,10.1021/acs.jmedchem.4c01370,"(Riu et al., 2024)",2024,18,2,0.0,2.0,C1=CCCCNCCNCCC=CC=COC=C1,C[C@@H]1NC(=O)[C@@H](N)CccccOcc(N)ccC(=O)CNC1=O,0.333333333,0.333333333,6,3,3.9131,600.672,7,4,44,33,0.303030303,151.93,4,0,0,9.993837679,LQQIDKLEINYVLO-UHFFFAOYSA-N
MC-4715,3,    ,O=C(C1=CC(NC(C2=NC=CC=C2)=O)=C(C=C1)OC3=CC=C(C[C@@H]4NC(OC(C)(C)C)=O)C=C3)CNC([C@H](CC5=CC=CC=C5)NC4=O)=O,CC(C)(C)OC(=O)N[C@H]1Cc2ccc(cc2)Oc2ccc(cc2NC(=O)c2ccccn2)C(=O)CNC(=O)[C@H](Cc2ccccc2)NC1=O,22.2,10^-6 cm/s,Papp BA,-4.653647026,Log Papp BA,22.2,MDCK,Permeability across a MDCK-MDR1 cell monolayer in the basolateral to  apical direction at pH 7.4.,https://pubs.acs.org/doi/10.1021/acs.jmedchem.4c01370,Journals,10.1021/acs.jmedchem.4c01370,"(Riu et al., 2024)",2024,18,2,0.0,2.0,C1=CCCCNCCNCCC=CC=COC=C1,C[C@@H]1NC(=O)[C@@H](N)CccccOcc(N)ccC(=O)CNC1=O,0.333333333,0.333333333,7,4,4.602,663.731,8,4,49,37,0.243243243,164.82,5,0,0,10.66919396,VNLAWQUPKLUQPB-UHFFFAOYSA-N
