ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-4163,CHEMBL3917415,    ,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,26,    ,ER,26.0,ER,26,Others,Efflux ratio of permeability across pig LLC-PK1 cells expressing human MDR1 at 1 uM after 3.5 hrs by LC-MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.7b01870,ChEMBL,10.1021/acs.jmedchem.7b01870,"(Giroud, Kuhn, et al., 2018)",2018,16,1,0.0,1.0,C1=CCCNCCCOCCCCOC=C1,C[C@@H]1CccccOCCCCOccC(=O)N1,0.1875,0.1875,5,2,4.42368,521.923,5,2,36,25,0.4,100.45,2,0,0,7.312583725,XAPRSGPLBWSEHV-IBGZPJMESA-N
MC-4163,CHEMBL3917415,    ,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,53,    ,ER,53.0,ER,53,Others,Efflux ratio of permeability across pig LLC-PK1 cells expressing mouse Mdr1a at 1 uM after 3.5 hrs by LC-MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.7b01870,ChEMBL,10.1021/acs.jmedchem.7b01870,"(Giroud, Kuhn, et al., 2018)",2018,16,1,0.0,1.0,C1=CCCNCCCOCCCCOC=C1,C[C@@H]1CccccOCCCCOccC(=O)N1,0.1875,0.1875,5,2,4.42368,521.923,5,2,36,25,0.4,100.45,2,0,0,7.312583725,XAPRSGPLBWSEHV-IBGZPJMESA-N
MC-4163,CHEMBL3917415,    ,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,53,    ,ER,53.0,ER,53,Others,Efflux ratio of permeability across pig LLC-PK1 cells expressing mouse Mdr1a at 1 uM after 3.5 hrs by LC-MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.7b01869,ChEMBL,10.1021/acs.jmedchem.7b01869,"(Giroud et al., 2018)",2018,16,1,0.0,1.0,C1=CCCNCCCOCCCCOC=C1,C[C@@H]1CccccOCCCCOccC(=O)N1,0.1875,0.1875,5,2,4.42368,521.923,5,2,36,25,0.4,100.45,2,0,0,7.312583725,XAPRSGPLBWSEHV-IBGZPJMESA-N
MC-4163,CHEMBL3917415,    ,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,N#CC1(NC(=O)[C@@H]2Cc3ccc(c(Cl)c3)OCCCCOc3cc(C(F)(F)F)ccc3C(=O)N2)CC1,26,    ,ER,26.0,ER,26,Others,Efflux ratio of permeability across pig LLC-PK1 cells expressing human MDR1 at 1 uM after 3.5 hrs by LC-MS/MS analysis,https://doi.org/10.1021/acs.jmedchem.7b01869,ChEMBL,10.1021/acs.jmedchem.7b01869,"(Giroud et al., 2018)",2018,16,1,0.0,1.0,C1=CCCNCCCOCCCCOC=C1,C[C@@H]1CccccOCCCCOccC(=O)N1,0.1875,0.1875,5,2,4.42368,521.923,5,2,36,25,0.4,100.45,2,0,0,7.312583725,XAPRSGPLBWSEHV-IBGZPJMESA-N
MC-4369,CHEMBL5173314,    ,O=C(NC1CCCC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N1,O=C(NC1CCCC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N1,1,    ,ER,1.0,ER,1,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=CCOCCCCCNCCNCCC1,C[C@@H]1CCCCOcccCCC(=O)N[C@@H](C)C(=O)N1,0.375,0.375,5,1,1.5335,597.757,7,3,43,32,0.6875,129.31,6,0,0,11.27729337,UGEFECOTMZPOER-KCHLEUMXSA-N
MC-4372,CHEMBL5174268,    ,CN[C@H]1Cc2cccc(c2)OCCCC[C@@H](C(=O)NC2CCCC2)NC(=O)[C@H](CCN2CCOCC2)NC1=O,CN[C@H]1Cc2cccc(c2)OCCCC[C@@H](C(=O)NC2CCCC2)NC(=O)[C@H](CCN2CCOCC2)NC1=O,1,    ,ER,1.0,ER,1,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=CCOCCCCCNCCNCCC1,C[C@@H]1CCCCOcccC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,0.375,0.375,4,1,1.1305,543.709,7,4,39,29,0.689655172,121.03,6,0,0,11.41092111,YYBWAJOQMWLIAV-GSDHBNRESA-N
MC-4374,CHEMBL5174759,    ,O=C(NC1CCCC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,O=C(NC1CCCC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,3,    ,ER,3.0,ER,3,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=CCOCCCCCNCCNCCC1,C[C@@H]1CCCCOcccCCC(=O)N[C@@H](C)C(=O)N1,0.375,0.375,5,2,3.444,588.749,5,3,43,34,0.529411765,116.84,6,0,0,10.68510136,KQBQKSGCGXCPPX-DTXPUJKBSA-N
MC-4375,CHEMBL5175549,    ,O=C(NCC(F)(F)F)[C@@H]1COCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,O=C(NCC(F)(F)F)[C@@H]1COCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,1,    ,ER,1.0,ER,1,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=COCCOCCNCCNCCCC1,C[C@@H]1COCCOcccCCC(=O)N[C@@H](C)C(=O)N1,0.375,0.375,4,2,1.91,604.626,6,3,43,30,0.466666667,126.07,6,0,0,10.98460089,OHTDQJRCKWZLSS-SDHOMARFSA-N
MC-4379,CHEMBL5179439,    ,O=C(NC1(C(F)(F)F)CC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,O=C(NC1(C(F)(F)F)CC1)[C@@H]1CCCCOc2cccc(c2)C[C@H](N2CCCC2=O)C(=O)N[C@@H](CCc2ccccc2)C(=O)N1,2,    ,ER,2.0,ER,2,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=CCOCCCCCNCCNCCC1,C[C@@H]1CCCCOcccCCC(=O)N[C@@H](C)C(=O)N1,0.375,0.375,5,2,3.5963,628.692,5,3,45,33,0.515151515,116.84,6,0,0,9.986099231,VCYRUNVVOCCZGA-QKDODKLFSA-N
MC-4380,CHEMBL5180427,    ,CC(=O)N[C@H]1Cc2cccc(c2)Oc2cccc(c2)C[C@@H](C(=O)NCC(F)(F)F)NC(=O)[C@H](CCc2ccccc2)NC1=O,CC(=O)N[C@H]1Cc2cccc(c2)Oc2cccc(c2)C[C@@H](C(=O)NCC(F)(F)F)NC(=O)[C@H](CCc2ccccc2)NC1=O,4,    ,ER,4.0,ER,4,Others,Efflux ratio of apparent permeability from basolateral to apical side over apical to basolateral side in pig LLC-PK1 cells expressing human MDR1,https://doi.org/10.1021/acs.jmedchem.2c00611,ChEMBL,10.1021/acs.jmedchem.2c00611,"(Zhang et al., 2022)",2022,16,2,0.0,2.0,C1=CCOC=CCCCNCCNCCC1,C[C@@H]1CcccOcccC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,0.375,0.375,4,3,3.3631,610.633,5,4,44,32,0.3125,125.63,6,0,0,10.59112661,FYUWDBLTIXSKFM-KCHLEUMXSA-N
