ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0085,erythromycin,Erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.3±0.1,nm/s,Papp,-6.886,Log Papp,1.3,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,1.7856,733.937,14,5,51,37,0.945945946,193.91,7,0,0,14.71233817,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0085,T-079,Erythromycin,O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.22,10^-6 cm/s,Papp,-6.658,Log Papp,0.22,PAMPA,PAMPA_Analysis: LC-MS/MS,https://doi.org/10.1016/j.bmcl.2021.127847,Journals,10.1016/j.bmcl.2021.127847,"(Miyachi et al., 2021)",2021,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,1.7856,733.937,14,5,51,37,0.945945946,193.91,7,0,0,14.71233817,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0086,clarithromycin ,Clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,37.8±1.7,nm/s,Papp,-5.423,Log Papp,37.8,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,2.4397,747.964,14,4,52,38,0.947368421,182.91,8,0,0,15.31321432,AGOYDEPGAOXOCK-KCBOHYOISA-N
MC-0087,roxithromycin ,Roxithromycin ,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,35.6±1.5,nm/s,Papp,-5.449,Log Papp,35.6,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1/C(=N)[C@H](C)C[C@@](C)(O)[C@H](O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,2.2096,837.058,17,5,58,41,0.951219512,216.89,13,0,0,18.8008298,RXZBMPWDPOLZGW-XMRMVWPWSA-N
MC-0087,T-180,Roxithromycin ,O(/N=C\1/[C@H](C)[C@@H](O)[C@@](O)(C)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@H](C)[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@](O)(C)C[C@H]/1C)COCCOC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0.76,10^-6 cm/s,Papp,-6.119,Log Papp,0.75999999,PAMPA,PAMPA_Analysis: LC-MS/MS,https://doi.org/10.1016/j.bmcl.2021.127847,Journals,10.1016/j.bmcl.2021.127847,"(Miyachi et al., 2021)",2021,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,C[C@H]1/C(=N)[C@H](C)C[C@@](C)(O)[C@H](O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,2.2096,837.058,17,5,58,41,0.951219512,216.89,13,0,0,18.8008298,RXZBMPWDPOLZGW-XMRMVWPWSA-N
MC-0088,azithromycin ,Azithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O  ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,10.1±0.9,nm/s,Papp,-5.996,Log Papp,10.1,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,15,0,0.0,0.0,C1CCCCNCCCCOCCCC1,C[C@H]1[C@H](O)[C@@H](C)C(=O)O[C@H](C)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@](C)(O)[C@@H]1O,0.0,0.0,3,0,1.9007,748.996,14,5,52,38,0.973684211,180.08,7,0,0,15.57529732,MQTOSJVFKKJCRP-BICOPXKESA-N
MC-0089,Telithromycin,Telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,0.13±0.03,nm/s,Papp,-7.886,Log Papp,0.13,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0.0,0.0,C1CCCCCCOCCCCCC1,CC1C[C@@H](C)C(=O)[C@H](C)C[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@@H](C)C(=O)O[C@@H]1C,0.0,0.0,5,2,4.9292,812.018,14,1,58,43,0.720930233,171.85,11,0,0,14.5827165,LJVAJPDWBABPEJ-PNUFFHFMSA-N
MC-0091,cyclo-Pro-Gly-Leu-Gly-Phe-Odz,    ,[H][C@@]12CCCN1[C@H](C3=NN=C([C@@H](NC(CNC([C@@H](NC(CNC2=O)=O)CC(C)C)=O)=O)CC4=CC=CC=C4)O3)CC,CC[C@H]1c2nnc(o2)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN21,7.75±0.07,    ,Minus_Log P app,-7.75,Log Papp,7.75,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,4,0.0,4.0,C1CNCCNCCOCCNCCNCCN1,C[C@H]1coc[C@H](C)NC(=O)CNC(=O)[C@H](C)NC(=O)CNC(=O)CN1,0.666666667,0.666666667,4,2,1.162,553.664,8,4,40,28,0.571428571,158.56,5,0,0,9.860035811,HVKUSJUJIMNWPN-CMOCDZPBSA-N
MC-0094,cyclo-Pro-Thz-Leu-Oxz-Phe-Ala,    ,[H][C@@]12CCCN1C([C@@H](NC([C@@H](NC(C3=COC([C@@H](NC(C4=CSC2=N4)=O)CC(C)C)=N3)=O)CC5=CC=CC=C5)=O)C)=O,CC(C)C[C@@H]1NC(=O)c2csc(n2)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)c2coc1n2,5.84±0.04,    ,Minus_Log P app,-5.84,Log Papp,5.84,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,3,1.0,4.0,C1=NCCNCC=NCCNCCNCCNC1,C[C@H]1cncC(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NCcncC(=O)N1,0.5,0.666666667,5,3,3.1712,578.695,8,3,41,29,0.448275862,174.77,4,0,0,8.479376128,ZTZPZIIPLULALX-UDSSINMLSA-N
MC-0095,cyclo-Pro-Gly-Leu-Oxz-Phe-Odz,    ,[H][C@@]12CCCN1[C@H](CC)C1=NN=C(O1)[C@H](CC1=CC=CC=C1)NC(=O)C1=COC(=N1)[C@H](CC(C)C)NC(=O)CNC2=O,CC[C@@H]1c2nnc(o2)[C@H](Cc2ccccc2)NC(=O)c2coc(n2)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN21,7.62±0.10,    ,Minus_Log P app,-7.62,Log Papp,7.62,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,3,0.0,3.0,C1=NCCNCCOCCNCCNCCNC1,C[C@H]1coc[C@@H](C)NCC(=O)NCC(=O)N[C@@H](C)cncC(=O)N1,0.5,0.5,5,3,3.0201,563.659,9,3,41,29,0.517241379,155.49,5,0,0,8.769546077,KEPKBWQUZCBILK-RLBLXZPPSA-N
